unit_category,tower_number,floor_area_sqft,size_segment,transaction_date,transaction_quarters,transaction_month,transaction_day,sale_price,price_segment,listing_status,client_id,client_type,date_of_birth,age,age_segment,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,buyers_type
Apartment,1,1160.36,Standard,2024-01-01,1,January,Monday,300385.62,Mid-market,Sold,C0027,Individual,1968-09-08,57.0,Peak Earners,M,USA,California,Home,5.0,Yes,Website,Global Investors
Apartment,1,782.25,Compact,2024-01-01,1,January,Monday,208930.81,Budget,Sold,C0097,Individual,1943-06-18,83.0,Retirees,M,USA,Virginia,Home,5.0,Yes,Website,Corporate Buyers
Apartment,1,756.21,Compact,2024-01-01,1,January,Monday,218585.92,Budget,Sold,C0113,Individual,1949-07-14,77.0,Retirees,M,USA,Utah,Investment,4.0,No,Agency,Corporate Buyers
Apartment,1,743.09,Compact,2024-01-01,1,January,Monday,246172.68,Budget,Sold,C0141,Individual,1986-06-21,40.0,Peak Earners,F,USA,California,Home,5.0,No,Website,Global Investors
Apartment,2,701.66,Compact,2024-01-01,1,January,Monday,212265.67,Budget,Sold,C0146,Individual,1963-02-01,63.0,Retirees,M,USA,Colorado,Home,2.0,No,Website,Corporate Buyers
Apartment,2,927.8299999999999,Standard,2024-01-01,1,January,Monday,275394.25,Budget,Sold,C0023,Individual,1958-12-06,67.0,Retirees,M,USA,California,Home,3.0,Yes,Website,Global Investors
Apartment,2,1109.25,Standard,2024-01-01,1,January,Monday,310223.29,Mid-market,Sold,C0040,Individual,1975-03-22,51.0,Peak Earners,M,USA,Nevada,Home,5.0,No,Website,Corporate Buyers
Apartment,3,1132.06,Standard,2024-01-01,1,January,Monday,356506.37,Mid-market,Sold,C0007,Individual,1947-05-24,79.0,Retirees,M,Canada,Quebec,Investment,5.0,No,Website,First Time Buyers
Apartment,3,670.89,Compact,2024-01-01,1,January,Monday,212520.83,Budget,Sold,C0082,Individual,1981-12-26,44.0,Peak Earners,F,USA,Virginia,Investment,5.0,No,Client,Corporate Buyers
Apartment,3,1596.35,Spacious,2024-01-01,1,January,Monday,407214.29,Mid-market,Sold,C0038,Individual,1974-12-25,51.0,Peak Earners,F,USA,California,Investment,4.0,No,Client,Luxury Investors
Apartment,3,781.07,Compact,2024-01-01,1,January,Monday,269278.57,Budget,Sold,C0107,Individual,1959-08-06,66.0,Retirees,M,USA,California,Home,4.0,Yes,Agency,Global Investors
Apartment,4,785.48,Compact,2024-01-01,1,January,Monday,216826.0,Budget,Available,,,,,,,,,,,,,
Apartment,5,798.5,Compact,2024-01-01,1,January,Monday,237680.88,Budget,Available,,,,,,,,,,,,,
Apartment,5,798.2800000000001,Compact,2024-01-01,1,January,Monday,240539.35,Budget,Sold,C0049,Individual,1971-08-20,54.0,Peak Earners,F,USA,California,Home,1.0,No,Website,Global Investors
Apartment,5,798.2800000000001,Compact,2024-01-01,1,January,Monday,230216.22,Budget,Sold,C0161,Individual,1951-11-10,74.0,Retirees,M,USA,California,Home,5.0,No,Website,Global Investors
Apartment,1,748.06,Compact,2024-01-01,1,January,Monday,222435.93,Budget,Sold,C0396,Individual,2000-04-17,26.0,Young Professionals,M,USA,Nevada,Home,5.0,No,Agency,Corporate Buyers
Apartment,1,715.6700000000001,Compact,2024-01-01,1,January,Monday,199315.51,Budget,Sold,C1809,Individual,1981-05-03,45.0,Peak Earners,F,USA,New York,Home,4.0,Yes,Agency,Corporate Buyers
Apartment,1,788.73,Compact,2024-01-01,1,January,Monday,285972.38,Budget,Sold,C1508,Individual,1994-12-03,31.0,Peak Earners,M,UK,Scotland,Home,3.0,No,Agency,First Time Buyers
Apartment,1,633.61,Compact,2024-01-01,1,January,Monday,179987.43,Budget,Sold,C1572,Individual,1960-06-10,66.0,Retirees,M,Australia,Queensland,Home,3.0,No,Agency,First Time Buyers
Apartment,1,633.61,Compact,2024-01-01,1,January,Monday,166623.12,Budget,Available,,,,,,,,,,,,,
Apartment,1,740.75,Compact,2024-01-01,1,January,Monday,233361.41,Budget,Available,,,,,,,,,,,,,
Office,1,719.47,Compact,2024-01-01,1,January,Monday,211336.04,Budget,Sold,C0628,Individual,1985-05-16,41.0,Peak Earners,M,Canada,British Columbia,Home,3.0,Yes,Agency,First Time Buyers
Apartment,1,1181.69,Standard,2024-01-01,1,January,Monday,347613.48,Mid-market,Sold,C0674,Individual,1986-05-26,40.0,Peak Earners,F,USA,California,Investment,4.0,No,Website,Global Investors
Apartment,1,1146.24,Standard,2024-01-01,1,January,Monday,336600.53,Mid-market,Sold,C0909,Individual,1967-07-10,59.0,Peak Earners,M,USA,California,Investment,1.0,Yes,Agency,Global Investors
Apartment,1,1957.16,Spacious,2024-01-01,1,January,Monday,487767.54,Premium,Sold,C0732,Individual,1985-03-03,41.0,Peak Earners,M,USA,Oregon,Home,5.0,No,Website,Luxury Investors
Office,1,740.8299999999999,Compact,2024-01-01,1,January,Monday,232423.05,Budget,Sold,C1956,Individual,1967-08-21,58.0,Peak Earners,F,USA,Oregon,Home,2.0,No,Agency,Corporate Buyers
